Fecha Tiempo Temperatura Distancia Paso_Madera
2025/1/15 13:1:17 20.07 332.00 0
2025/1/15 13:1:17 20.05 332.00 0
2025/1/15 13:1:17 20.03 332.00 0
2025/1/15 13:1:18 20.03 332.00 0
2025/1/15 13:1:18 20.03 332.00 0
2025/1/15 13:1:18 20.07 332.00 0
2025/1/15 13:1:18 20.01 332.00 0
2025/1/15 13:1:19 20.09 332.00 0
2025/1/15 13:1:19 20.05 332.00 0
2025/1/15 13:1:19 20.03 332.00 0
2025/1/15 13:1:19 20.07 332.00 0
2025/1/15 13:1:20 20.01 332.00 0
2025/1/15 13:1:20 19.93 332.00 0
2025/1/15 13:1:20 20.09 333.00 0
2025/1/15 13:1:20 20.05 332.00 0
2025/1/15 13:1:20 20.01 332.00 0
2025/1/15 13:1:21 20.03 332.00 0
2025/1/15 13:1:21 20.07 332.00 0
2025/1/15 13:1:21 20.01 332.00 0
2025/1/15 13:1:21 19.99 332.00 0
2025/1/15 13:1:22 19.95 332.00 0
2025/1/15 13:1:22 19.93 333.00 0
2025/1/15 13:1:22 19.97 333.00 0
2025/1/15 13:1:22 20.07 333.00 0
2025/1/15 13:1:23 20.03 333.00 0
2025/1/15 13:1:23 20.07 333.00 0
2025/1/15 13:1:23 20.15 333.00 0
2025/1/15 13:1:23 20.13 333.00 0
2025/1/15 13:1:24 20.05 332.00 0
2025/1/15 13:1:24 20.13 332.00 0
2025/1/15 13:1:24 19.99 332.00 0
2025/1/15 13:1:24 19.97 332.00 0
2025/1/15 13:1:24 20.01 332.00 0
2025/1/15 13:1:25 20.07 332.00 0
2025/1/15 13:1:25 20.13 333.00 0
2025/1/15 13:1:25 20.01 332.00 0
2025/1/15 13:1:25 19.97 332.00 0
2025/1/15 13:1:26 19.97 332.00 0
2025/1/15 13:1:26 20.05 332.00 0
2025/1/15 13:1:26 20.03 332.00 0
2025/1/15 13:1:26 20.03 332.00 0
2025/1/15 13:1:27 20.03 332.00 0
2025/1/15 13:1:27 20.07 332.00 0
2025/1/15 13:1:27 20.03 332.00 0
2025/1/15 13:1:27 19.93 332.00 0
2025/1/15 13:1:28 19.83 332.00 0
2025/1/15 13:1:28 20.01 332.00 0
2025/1/15 13:1:28 20.01 332.00 0
2025/1/15 13:1:28 20.11 332.00 0
2025/1/15 13:1:28 20.03 332.00 0
2025/1/15 13:1:29 19.99 332.00 0
2025/1/15 13:1:29 19.93 332.00 0
2025/1/15 13:1:29 19.99 332.00 0
2025/1/15 13:1:29 19.93 332.00 0
2025/1/15 13:1:30 19.99 332.00 0
2025/1/15 13:1:30 19.93 332.00 0
2025/1/15 13:1:30 19.97 332.00 0
2025/1/15 13:1:30 20.03 332.00 0
