Fecha Hora Temperatura Distancia Laser_pequeño Paso_Madera
2025/1/16 9:59:45 20.51 355 8191 0
2025/1/16 9:59:46 20.49 355 8191 0
2025/1/16 9:59:47 20.09 355 8191 0
2025/1/16 9:59:48 20.23 355 8191 0
2025/1/16 9:59:49 20.21 355 105 1
2025/1/16 9:59:50 20.33 355 8191 0
2025/1/16 9:59:51 20.27 355 30 1
2025/1/16 9:59:52 20.39 356 8191 0
2025/1/16 9:59:53 20.27 356 218 0
2025/1/16 9:59:54 20.49 335 153 1
2025/1/16 9:59:55 20.15 335 241 0
2025/1/16 9:59:57 19.99 323 212 0
2025/1/16 9:59:58 20.09 323 174 1
2025/1/16 9:59:59 20.55 339 8191 0
2025/1/16 10:0:0 20.51 339 8191 0
2025/1/16 10:0:1 20.39 355 8191 0
2025/1/16 10:0:2 20.45 355 45 1
2025/1/16 10:0:3 20.45 355 156 1
2025/1/16 10:0:4 20.61 355 8191 0
2025/1/16 10:0:5 20.49 355 8191 0
2025/1/16 10:0:6 20.67 355 8190 0
2025/1/16 10:0:7 20.59 355 8191 0
2025/1/16 10:0:8 20.61 355 8191 0
2025/1/16 10:0:9 20.27 355 8191 0
2025/1/16 10:0:10 20.51 355 8191 0
2025/1/16 10:0:11 20.55 356 8191 0
2025/1/16 10:0:12 20.71 356 8191 0
2025/1/16 10:0:13 20.49 356 8191 0
2025/1/16 10:0:14 20.71 356 8191 0
2025/1/16 10:0:15 20.45 356 8191 0
2025/1/16 10:0:16 20.67 356 8191 0
2025/1/16 10:0:18 20.51 356 0 1
2025/1/16 10:0:19 20.67 356 8191 0
2025/1/16 10:0:20 20.17 356 8191 0
2025/1/16 10:0:21 20.49 356 278 0
2025/1/16 10:0:22 20.23 356 220 0
2025/1/16 10:0:23 20.45 334 267 0
2025/1/16 10:0:24 20.09 334 266 0
2025/1/16 10:0:25 20.37 337 249 0
2025/1/16 10:0:26 20.11 337 121 1
2025/1/16 10:0:27 20.59 353 8191 0
2025/1/16 10:0:28 20.49 353 8191 0
2025/1/16 10:0:29 20.43 357 8190 0
2025/1/16 10:0:30 20.71 357 79 1
2025/1/16 10:0:31 20.55 357 8191 0
2025/1/16 10:0:32 20.51 357 8191 0
2025/1/16 10:0:33 20.39 357 8191 0
2025/1/16 10:0:34 20.61 357 73 1
2025/1/16 10:0:35 20.65 357 8191 0
2025/1/16 10:0:36 20.49 357 8191 0
2025/1/16 10:0:37 20.45 357 8191 0
2025/1/16 10:0:39 20.61 357 104 1
2025/1/16 10:0:40 20.33 357 8191 0
2025/1/16 10:0:41 20.59 357 27 1
2025/1/16 10:0:42 20.65 357 8191 0
2025/1/16 10:0:43 20.49 357 8191 0
2025/1/16 10:0:44 20.37 357 123 1
2025/1/16 10:0:45 20.43 329 100 1
2025/1/16 10:0:46 20.37 329 53 1
2025/1/16 10:0:47 20.33 355 154 1
2025/1/16 10:0:48 20.49 355 70 1
2025/1/16 10:0:49 20.83 355 8191 0
2025/1/16 10:0:50 20.65 355 34 1
2025/1/16 10:0:51 20.51 355 101 1
2025/1/16 10:0:52 20.77 355 65 1
2025/1/16 10:0:53 20.81 355 8191 0
2025/1/16 10:0:54 20.87 355 8191 0
2025/1/16 10:0:55 20.61 355 8191 0
2025/1/16 10:0:56 20.61 355 78 1
2025/1/16 10:0:57 20.81 355 8191 0
2025/1/16 10:0:58 20.51 355 8190 0
2025/1/16 10:1:0 20.83 355 8191 0
2025/1/16 10:1:1 20.55 355 8191 0
2025/1/16 10:1:2 20.67 356 8191 0
2025/1/16 10:1:3 20.55 356 8191 0
2025/1/16 10:1:4 20.87 356 8191 0
2025/1/16 10:1:5 20.55 356 74 1
2025/1/16 10:1:6 20.67 356 8191 0
2025/1/16 10:1:7 20.61 356 39 1
2025/1/16 10:1:8 20.15 356 236 0
2025/1/16 10:1:9 20.37 284 154 1
2025/1/16 10:1:10 20.55 347 188 1
2025/1/16 10:1:11 20.31 312 178 1
2025/1/16 10:1:12 20.55 312 26 1
2025/1/16 10:1:13 20.51 356 8190 0
2025/1/16 10:1:14 20.65 356 8191 0
2025/1/16 10:1:15 20.43 356 142 1
2025/1/16 10:1:16 20.51 356 8191 0
2025/1/16 10:1:17 20.77 356 32 1
2025/1/16 10:1:18 20.61 356 11 1
2025/1/16 10:1:19 20.55 356 38 1
2025/1/16 10:1:21 20.61 356 8191 0
2025/1/16 10:1:22 20.55 356 122 1
2025/1/16 10:1:23 20.55 354 66 1
2025/1/16 10:1:24 20.39 354 8191 0
2025/1/16 10:1:25 20.45 354 86 1
2025/1/16 10:1:26 20.65 354 8191 0
2025/1/16 10:1:27 20.49 354 57 1
2025/1/16 10:1:28 20.43 354 85 1
2025/1/16 10:1:29 20.09 344 165 1
2025/1/16 10:1:30 20.21 344 8191 0
2025/1/16 10:1:31 20.59 349 82 1
2025/1/16 10:1:32 20.59 349 89 1
2025/1/16 10:1:33 20.61 355 8191 0
2025/1/16 10:1:34 20.55 355 8191 0
2025/1/16 10:1:35 20.59 355 146 1
2025/1/16 10:1:36 20.49 355 8191 0
2025/1/16 10:1:37 20.37 355 8191 0
2025/1/16 10:1:38 20.49 355 47 1
2025/1/16 10:1:39 20.65 355 8191 0
2025/1/16 10:1:40 20.45 355 8190 0
2025/1/16 10:1:42 20.37 355 92 1
2025/1/16 10:1:43 20.55 355 8191 0
2025/1/16 10:1:44 20.61 355 8191 0
2025/1/16 10:1:45 20.61 355 8191 0
2025/1/16 10:1:46 20.21 355 8191 0
2025/1/16 10:1:47 20.39 355 8191 0
2025/1/16 10:1:48 20.11 355 196 1
2025/1/16 10:1:49 20.17 322 185 1
2025/1/16 10:1:50 20.37 322 146 1
2025/1/16 10:1:51 20.45 334 8191 0
2025/1/16 10:1:52 20.67 334 8191 0
2025/1/16 10:1:53 20.43 356 8191 0
2025/1/16 10:1:54 20.61 356 224 0
2025/1/16 10:1:55 20.37 356 8191 0
2025/1/16 10:1:56 20.39 356 8191 0
2025/1/16 10:1:57 20.45 356 8191 0
2025/1/16 10:1:58 20.55 356 8191 0
2025/1/16 10:1:59 20.37 356 8191 0
2025/1/16 10:2:0 20.43 356 236 0
2025/1/16 10:2:1 20.27 333 313 0
