Fecha Hora Temperatura(ºC) Distancia(mm) Madera
2025/1/15 15:25:29 15.09 298.00 0
2025/1/15 15:25:29 15.09 298.00 0
2025/1/15 15:25:30 15.13 298.00 0
2025/1/15 15:25:30 15.13 297.00 0
2025/1/15 15:25:30 15.19 297.00 0
2025/1/15 15:25:30 15.07 298.00 0
2025/1/15 15:25:31 15.09 298.00 0
2025/1/15 15:25:31 15.21 298.00 0
2025/1/15 15:25:31 15.13 298.00 0
2025/1/15 15:25:31 15.07 298.00 0
2025/1/15 15:25:31 15.03 298.00 0
2025/1/15 15:25:32 15.11 298.00 0
2025/1/15 15:25:32 15.13 298.00 0
2025/1/15 15:25:32 15.07 298.00 0
2025/1/15 15:25:32 15.13 298.00 0
2025/1/15 15:25:33 15.15 300.00 0
2025/1/15 15:25:33 15.21 299.00 0
2025/1/15 15:25:33 15.13 299.00 0
2025/1/15 15:25:33 15.21 299.00 0
2025/1/15 15:25:34 15.11 297.00 0
2025/1/15 15:25:34 15.09 300.00 0
2025/1/15 15:25:34 15.07 296.00 0
2025/1/15 15:25:34 15.09 298.00 0
2025/1/15 15:25:35 15.21 297.00 0
2025/1/15 15:25:35 15.11 300.00 0
2025/1/15 15:25:35 15.21 300.00 0
2025/1/15 15:25:35 15.11 299.00 0
2025/1/15 15:25:35 15.09 300.00 0
2025/1/15 15:25:36 15.19 299.00 0
2025/1/15 15:25:36 15.15 300.00 0
2025/1/15 15:25:36 15.05 295.00 0
2025/1/15 15:25:36 15.15 299.00 0
2025/1/15 15:25:37 15.19 300.00 0
2025/1/15 15:25:37 15.21 300.00 0
2025/1/15 15:25:37 15.19 300.00 0
2025/1/15 15:25:37 15.21 300.00 0
2025/1/15 15:25:38 15.17 299.00 0
2025/1/15 15:25:38 15.19 299.00 0
2025/1/15 15:25:38 15.11 299.00 0
2025/1/15 15:25:38 15.13 298.00 0
2025/1/15 15:25:39 15.13 297.00 0
2025/1/15 15:25:39 15.13 297.00 0
2025/1/15 15:25:39 15.11 297.00 0
2025/1/15 15:25:39 15.09 297.00 0
2025/1/15 15:25:39 15.05 297.00 0
2025/1/15 15:25:40 15.13 297.00 0
2025/1/15 15:25:40 15.25 298.00 0
2025/1/15 15:25:40 15.09 300.00 0
2025/1/15 15:25:40 15.17 299.00 0
2025/1/15 15:25:41 15.07 298.00 0
2025/1/15 15:25:41 15.11 300.00 0
2025/1/15 15:25:41 15.13 299.00 0
2025/1/15 15:25:41 15.23 300.00 0
2025/1/15 15:25:42 15.11 297.00 0
2025/1/15 15:25:42 15.11 297.00 0
2025/1/15 15:25:42 15.21 297.00 0
2025/1/15 15:25:42 15.19 298.00 0
2025/1/15 15:25:43 15.07 298.00 0
2025/1/15 15:25:43 15.03 297.00 0
2025/1/15 15:25:43 15.09 298.00 0
2025/1/15 15:25:43 15.19 298.00 0
2025/1/15 15:25:43 15.15 298.00 0
2025/1/15 15:25:44 15.21 299.00 0
2025/1/15 15:25:44 15.21 300.00 0
2025/1/15 15:25:44 15.23 299.00 0
2025/1/15 15:25:44 15.19 297.00 0
2025/1/15 15:25:45 15.21 296.00 0
2025/1/15 15:25:45 15.23 300.00 0
2025/1/15 15:25:45 15.27 297.00 0
2025/1/15 15:25:45 15.23 297.00 0
2025/1/15 15:25:46 15.17 296.00 0
2025/1/15 15:25:46 15.19 297.00 0
2025/1/15 15:25:46 15.07 298.00 0
2025/1/15 15:25:46 15.19 298.00 0
2025/1/15 15:25:47 15.19 300.00 0
2025/1/15 15:25:47 15.15 296.00 0
2025/1/15 15:25:47 15.21 300.00 0
2025/1/15 15:25:47 15.21 300.00 0
2025/1/15 15:25:48 15.19 297.00 0
2025/1/15 15:25:48 15.19 297.00 0
2025/1/15 15:25:48 15.11 301.00 0
2025/1/15 15:25:48 15.09 301.00 0
2025/1/15 15:25:48 15.17 300.00 0
2025/1/15 15:25:48 15.17 300.00 0
2025/1/15 15:25:48 15.23 300.00 0
2025/1/15 15:25:48 15.23 300.00 0
2025/1/15 15:25:49 15.07 299.00 0
2025/1/15 15:25:49 15.07 299.00 0
2025/1/15 15:25:49 15.21 299.00 0
2025/1/15 15:25:49 15.21 299.00 0
2025/1/15 15:25:49 15.21 298.00 0
2025/1/15 15:25:49 15.11 298.00 0
2025/1/15 15:25:49 15.13 299.00 0
2025/1/15 15:25:49 15.13 299.00 0
2025/1/15 15:25:49 15.23 298.00 0
2025/1/15 15:25:49 15.23 298.00 0
2025/1/15 15:25:50 15.17 298.00 0
2025/1/15 15:25:50 15.17 298.00 0
2025/1/15 15:25:50 15.17 298.00 0
2025/1/15 15:25:50 15.17 298.00 0
2025/1/15 15:25:50 15.05 298.00 0
2025/1/15 15:25:50 15.23 298.00 0
2025/1/15 15:25:50 15.23 298.00 0
2025/1/15 15:25:51 15.23 298.00 0
2025/1/15 15:25:51 15.23 298.00 0
2025/1/15 15:25:51 15.19 298.00 0
2025/1/15 15:25:51 15.19 298.00 0
2025/1/15 15:25:51 15.21 298.00 0
2025/1/15 15:25:51 15.21 298.00 0
2025/1/15 15:25:51 15.21 298.00 0
2025/1/15 15:25:51 15.19 298.00 0
2025/1/15 15:25:52 15.19 298.00 0
2025/1/15 15:25:52 15.19 298.00 0
2025/1/15 15:25:52 15.23 298.00 0
2025/1/15 15:25:52 15.23 298.00 0
2025/1/15 15:25:52 15.23 299.00 0
2025/1/15 15:25:52 15.19 299.00 0
2025/1/15 15:25:52 15.19 299.00 0
2025/1/15 15:25:53 15.19 299.00 0
2025/1/15 15:25:53 15.13 299.00 0
2025/1/15 15:25:53 15.17 299.00 0
2025/1/15 15:25:53 15.17 299.00 0
2025/1/15 15:25:53 15.21 299.00 0
2025/1/15 15:25:53 15.21 299.00 0
2025/1/15 15:25:53 15.15 299.00 0
2025/1/15 15:25:53 15.15 299.00 0
2025/1/15 15:25:53 15.15 298.00 0
2025/1/15 15:25:53 15.15 298.00 0
2025/1/15 15:25:54 15.29 298.00 0
2025/1/15 15:25:54 15.29 298.00 0
2025/1/15 15:25:54 15.21 295.00 0
2025/1/15 15:25:54 15.21 298.00 0
2025/1/15 15:25:54 15.21 298.00 0
2025/1/15 15:25:54 15.21 297.00 0
2025/1/15 15:25:54 15.21 297.00 0
2025/1/15 15:25:55 15.25 297.00 0
2025/1/15 15:25:55 15.25 297.00 0
