Fecha,Hora,Corriente(A)
22/1/2025,16:20:59,-0.54
22/1/2025,16:20:59,-0.38
22/1/2025,16:20:59,-0.23
22/1/2025,16:20:59,-0.54
22/1/2025,16:20:59,-0.54
22/1/2025,16:21:00,-0.07
22/1/2025,16:21:00,-0.38
22/1/2025,16:21:00,-0.38
22/1/2025,16:21:00,-1.93
22/1/2025,16:21:00,-0.07
22/1/2025,16:21:00,-0.07
22/1/2025,16:21:00,-0.38
22/1/2025,16:21:00,-0.23
22/1/2025,16:21:00,-0.38
22/1/2025,16:21:00,-0.54
22/1/2025,16:21:01,-0.54
22/1/2025,16:21:01,-0.23
22/1/2025,16:21:01,-0.38
22/1/2025,16:21:01,-0.38
22/1/2025,16:21:01,-0.38
22/1/2025,16:21:01,-0.54
22/1/2025,16:21:01,-0.23
22/1/2025,16:21:01,-0.23
22/1/2025,16:21:01,-0.38
22/1/2025,16:21:01,-0.07
22/1/2025,16:21:02,-0.07
22/1/2025,16:21:02,-0.07
22/1/2025,16:21:02,-0.38
22/1/2025,16:21:02,-0.38
22/1/2025,16:21:02,-0.38
22/1/2025,16:21:02,-0.38
22/1/2025,16:21:02,-0.54
22/1/2025,16:21:02,-0.38
22/1/2025,16:21:02,-0.54
22/1/2025,16:21:02,-0.38
22/1/2025,16:21:03,-0.07
22/1/2025,16:21:03,-0.23
22/1/2025,16:21:03,-0.07
22/1/2025,16:21:03,-0.38
22/1/2025,16:21:03,-0.38
22/1/2025,16:21:03,-0.54
22/1/2025,16:21:03,-0.38
22/1/2025,16:21:03,-0.38
22/1/2025,16:21:03,-0.54
22/1/2025,16:21:03,-0.38
22/1/2025,16:21:04,-0.54
22/1/2025,16:21:04,-0.38
22/1/2025,16:21:04,-0.54
22/1/2025,16:21:04,-0.38
22/1/2025,16:21:04,-0.23
22/1/2025,16:21:04,0.08
22/1/2025,16:21:04,-0.54
22/1/2025,16:21:04,-0.38
22/1/2025,16:21:04,-0.07
22/1/2025,16:21:04,-0.38
22/1/2025,16:21:05,-0.23
22/1/2025,16:21:05,-0.23
22/1/2025,16:21:05,-0.38
22/1/2025,16:21:05,-0.38
22/1/2025,16:21:05,-0.38
22/1/2025,16:21:05,-0.54
22/1/2025,16:21:05,-0.23
22/1/2025,16:21:05,-0.38
22/1/2025,16:21:05,-0.07
22/1/2025,16:21:05,-0.54
22/1/2025,16:21:06,-0.23
22/1/2025,16:21:06,-0.07
22/1/2025,16:21:06,-0.07
22/1/2025,16:21:06,-0.23
22/1/2025,16:21:06,-0.38
22/1/2025,16:21:06,-0.23
22/1/2025,16:21:06,-0.54
22/1/2025,16:21:06,-0.23
22/1/2025,16:21:06,-0.38
22/1/2025,16:21:06,-0.23
22/1/2025,16:21:07,-0.54
22/1/2025,16:21:07,-0.38
22/1/2025,16:21:07,-0.38
22/1/2025,16:21:07,-0.38
22/1/2025,16:21:07,-0.23
22/1/2025,16:21:07,-0.54
22/1/2025,16:21:07,-0.23
22/1/2025,16:21:07,-0.23
22/1/2025,16:21:07,-0.23
22/1/2025,16:21:07,-0.38
22/1/2025,16:21:08,-0.23
22/1/2025,16:21:08,-0.23
22/1/2025,16:21:08,-0.54
22/1/2025,16:21:08,-0.54
22/1/2025,16:21:08,-0.23
22/1/2025,16:21:08,0.08
22/1/2025,16:21:08,-0.23
22/1/2025,16:21:08,-0.38
22/1/2025,16:21:08,-0.23
22/1/2025,16:21:08,-0.38
22/1/2025,16:21:09,-2.23
22/1/2025,16:21:09,-0.23
22/1/2025,16:21:09,-1
22/1/2025,16:21:09,-0.38
22/1/2025,16:21:09,-0.54
22/1/2025,16:21:09,-0.54
22/1/2025,16:21:09,-0.38
22/1/2025,16:21:09,-0.38
22/1/2025,16:21:09,-0.23
22/1/2025,16:21:09,-0.38
22/1/2025,16:21:10,-0.54
22/1/2025,16:21:10,-0.38
22/1/2025,16:21:10,-0.23
22/1/2025,16:21:10,-0.23
22/1/2025,16:21:10,-0.07
22/1/2025,16:21:10,-0.07
22/1/2025,16:21:10,-0.54
22/1/2025,16:21:10,-0.54
22/1/2025,16:21:10,-0.38
22/1/2025,16:21:10,-0.38
22/1/2025,16:21:11,-0.38
22/1/2025,16:21:11,-0.54
22/1/2025,16:21:11,-0.38
22/1/2025,16:21:11,-0.38
22/1/2025,16:21:11,-0.54
22/1/2025,16:21:11,-0.38
22/1/2025,16:21:11,-0.07
22/1/2025,16:21:11,-0.23
22/1/2025,16:21:11,-0.23
22/1/2025,16:21:11,-1.31
22/1/2025,16:21:12,-0.38
22/1/2025,16:21:12,-0.23
22/1/2025,16:21:12,-0.54
22/1/2025,16:21:12,-0.23
22/1/2025,16:21:12,-0.07
22/1/2025,16:21:12,-0.07
22/1/2025,16:21:12,-0.38
22/1/2025,16:21:12,-0.38
22/1/2025,16:21:12,-0.38
22/1/2025,16:21:12,-0.23
22/1/2025,16:21:13,-0.38
22/1/2025,16:21:13,-0.38
22/1/2025,16:21:13,-0.07
22/1/2025,16:21:13,-0.07
22/1/2025,16:21:13,-0.38
22/1/2025,16:21:13,-0.07
22/1/2025,16:21:13,-0.23
22/1/2025,16:21:13,-0.54
22/1/2025,16:21:13,-0.07
22/1/2025,16:21:13,-0.38
22/1/2025,16:21:14,-0.38
22/1/2025,16:21:14,-0.23
